"","var_niv_digit","var_tam_forca","var_tam_clientela","var_interdep_bases","var_interdep_svc","var_complex_amb_exec","var_complex_amb_fed","var_discricion_tec","var_discricion_agend","var_centrado_user","var_percep_util","var_alinha_TI","var_fat_res_leg","var_fat_infra","var_fat_integra","var_fat_rec_fin","var_fat_rec_hum","var_fat_priorir","var_fa1_div_digit","var_fat_res_int","var_fat_res_ext","v_id","v_Q002","v_Q003","v_Q001","v_adm_dir_ind","v_orgao_central","v_Q005","v_Q007_SQ025","v_Q007_SQ002","v_Q007_SQ003","v_Q007_SQ005","v_Q007_SQ006","v_Q007_SQ007","v_Q007_SQ026","v_Q007_SQ008","v_Q007_SQ009","v_Q007_SQ010","v_Q007_SQ011","v_Q007_SQ012","v_Q007_SQ013","v_Q007_SQ014","v_Q007_SQ015","v_Q007_SQ016","v_Q007_SQ017","v_Q007_SQ018","v_Q007_SQ019","v_Q007_SQ020","v_Q007_SQ022","v_Q007_SQ023","v_Q007_r467sq0","v_Q007_outros","v_Q008_SQ002","v_Q008_SQ003","v_Q008_SQ004","v_Q008_SQ005","v_Q008_SQ006","v_Q008_SQ007","v_Q008_SQ008","v_Q008_SQ009","v_Q008_SQ010","v_Q008_outros","v_Q009_SQ001","v_Q009_SQ002","v_Q009_SQ003","v_Q009_SQ004","v_Q009_SQ005","v_Q009_SQ006","v_Q009_SQ007","v_Q009_SQ008","v_Q009_outros","v_Q0097","v_Q0098","v_Q0099","v_Q00912_SQ001","v_Q00912_SQ002","v_Q00912_SQ003","v_Q00912_SQ004","v_Q00912_SQ005","v_Q00912_SQ006","v_Q00912_SQ007","v_Q00912_SQ024","v_Q00912_SQ009","v_Q00912_Comrcio","v_Q00912_SQ011","v_Q00912_SQ012","v_Q00912_SQ013","v_Q00912_SQ014","v_Q00912_SQ015","v_Q00912_SQ016","v_Q00912_SQ018","v_Q00912_SQ019","v_Q00912_outros","v_Q010","v_Q0102","v_Q011","v_Q012","v_Q013","v_Q0134","v_Q0135","v_Q0136_SQ002","v_Q0136_SQ003","v_Q0136_SQ004","v_Q0136_SQ005","v_Q0136_SQ006","v_Q0136_SQ007","v_Q0136_SQ008","v_Q0136_SQ009","v_Q0136_SQ010","v_Q0136_SQ011","v_Q0136_SQ012","v_Q0136_SQ013","v_Q014","v_Q0143_SQ002","v_Q0143_SQ003","v_Q0143_SQ004","v_Q0143_SQ005","v_Q0143_SQ006","v_Q0143_other","v_Q0144","v_Q0145","v_Q015","v_Q016_SQ001","v_Q016_SQ002","v_Q016_SQ003","v_Q016_SQ004","v_Q016_SQ005","v_Q016_outros","v_Q017","v_Q018","v_Q019_SQ001","v_Q019_SQ002","v_Q019_SQ004","v_Q019_SQ003","v_Q01941_SQ001","v_Q01941_SQ002","v_Q01941_SQ003","v_Q01941_other","v_Q020","v_Q0204","v_Q021","v_Q022","v_Q023_SQ001","v_Q023_SQ002","v_Q023_SQ003","v_Q023_SQ004","v_Q023_SQ005","v_Q024_SQ001","v_Q024_SQ002","v_Q024_SQ003","v_Q024_SQ004","v_Q024_SQ005","v_Q024_SQ006","v_Q024_SQ007","v_Q024_SQ008","v_Q024_SQ009","v_Q024_other","v_Q025","v_Q02561_SQ001","v_Q02561_SQ002","v_Q02561_SQ003","v_Q02561_SQ004","v_Q02561_SQ005","v_Q02561_SQ006","v_Q02561_SQ007","v_Q02561_SQ008","v_Q02561_SQ009","v_Q02561_other","v_Q02562_SQ001","v_Q02562_SQ002","v_Q02562_SQ003","v_Q02562_SQ004","v_Q02562_SQ005","v_Q02562_SQ006","v_Q02562_SQ007","v_Q02562_SQ008","v_Q02562_SQ009","v_Q02562_SQ010","v_Q02562_other","v_Q0256","v_Q026"
"11","1",5.29831736654804,"2","0","2","2","2","1","1","2","1","1",,"2","2","2","2","2",,,,"183","COORDENAÇÃO-GERAL DE RECUPERAÇÃO DE ATIVOS","NAS PROCESSOS JUDICIAIS EM QUE HÁ INGRESSOS DE RECURSOS PARA UNIÃO, PODE O DEVEDOR APRESENTAR PROPOSTA DE ACORDO PARA POR FIM AO PROCESSO, PODENDO SER FEITO O PAGAMENTO À VISTA OU PARCELADO.","AGU","INDIRETA","AGU","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","1","0","4","1","7","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","4","5",,200,"3",,"",,,,,,,,,,,,,"2",,,,,,,,,"10","0","0","1","0","0","0","2","1","0","0","1","0",,,,"0","1",,"2","2","0","1","0","0","0","1","1","0","1","1","1","0","1","0","0","1",,"1","1","1","1","1",,,,,,,"1","1","1","1","1",,,,,"1",5
"12","1",5.01063529409626,,,"2","1","2","2","0","1","0","3",,,,,,,,,,"165","Atendimento à população indígena nos interesses abrangidos pela Portaria AGU nº 839, de 18 de junho de 2010","O serviço é prestado por procuradores federais lotados nos órgãos que compõem a Procuradoria Geral Federal em todas as unidades da federação. Os indígenas, com o auxílio da Funai ou diretamente, acessam o procurador com o objetivo de receber assistência jurídica nos mais variados casos, que envolvem interesses individuais ou coletivos.","AGU","INDIRETA","AGU","1","1","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","3","3","6",,,,,,,,,,,,,,,,,,,,"4",,,150,"3",,"",,,,,,,,,,,,,"1","0","0","0","0","0","1",,,"10","0","1","0","0","0","0","2","2","0","0","0","1",,,,"0","3","","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1",,,,,,,,,,,,,,,,,,,,,,,1
"13","3",6.21460809842219,"3","1","2","1","2","2","0","2","1","3",,,,,,,,,,"160","PROCURADORIA-GERAL FEDERAL - PGF","Pagamento de créditos (multas decorrentes do poder de polícia, taxas de serviço, taxas de uso, preço público,  ressarcimentos/indenizações em geral) à vista ou de forma parcelada, de créditos constituídos pelas Autarquias e Fundações Públicas Federais, em face dos usuários do serviço (potencialmente ou não) ou daqueles sujeitos a fiscalização e/ou regulação da atividade que executa.","AGU","INDIRETA","AGU","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","1","0","4","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","6","6",,500,"3",,"",,,,,,,,,,,,,"2",,,,,,,,,"3","0","0","1","0","0","0","2","2","1","0","0","0","1","0","0","1","3","","2","2","0","0","0","0","1","1","0","0","0","1","1","1","1","0","0","3",,,,,,,,,,,,,,,,,,,,,,,1
"14","4",1.09861228866811,"1","1","2","1","2","2","0","2","1","1",,,,,,,,,,"130","Restituição e retificação de receita recolhida indevidamente","Considera-se RESTITUIÇÃO de valor, a devolução realizada através de depósito em conta judicial, a devolução em conta bancária de particular ou o estorno parcial a órgão ou entidade da administração pública através do Sistema Integrado de Administração Financeira - SIAFI.Considera-se RETIFICAÇÃO de valor, a correção de dados da Guia de Recolhimento da União - GRU através do Sistema de Gestão do Recolhimento da União - SISGRU.","AGU","INDIRETA","AGU","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","1","0","0","4","1","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1",,3,"2",,"2",,,,,,,,,,,,,"2",,,,,,,,,"5","0","0","0","0","0","0","1","2","1","0","0","0","1","0","1","0","1","1","2","2","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","4",,,,,,,,,,,,,,,,,,,,,,,2
"15","3",2.99573227355399,,"1","1","1","2","1","1","2","0","1",,,,,,,,,,"174","Processos de concilição","Órgãos e entidades da Administração Federal Direta e Indireta, Estados e Municípios podem submeter seus conflitos administrativos para a solução pela AGU, mediante procedimento de conciliação,","AGU","INDIRETA","AGU","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","","","",,,,,,,,,,,,,,,,,,,,,"4",,20,"1",50,"2",,,,,,,,,,,,,"2",,,,,,,,,"10","0","0","1","0","0","0","2","1","1","0","0","0","0","0","1","0","1","1","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","3",,,,,,,,,,,,,,,,,,,,,,,5
"16","3",8.98719682066197,,,"2","1","2","2","0","2","0","3",,,,,,,,,,"192","Representação Judicial dos agentes públicos","A representação judicial dos agentes públicos está prevista no artigo 22, da Lei nº 9.028/95. Foi regulamentada pela Portaria AGU nº 408, de 23 de março de 2009.O artigo 2º da mencionada Portaria estabelece: ""A representação de agentes públicos somente ocorrerá por solicitação do interessado e desde que o ato pelo qual esteja sendo demandado em juízo tenha sido praticado no exercício de suas atribuições constitucionais, legais ou regulamentares, na defesa do interesse público, especialmente da União, suas respectivas autarquias e fundações, ou das instituições mencionadas no art. 22 da Lei nº 9.028, de 1995.","AGU","INDIRETA","AGU","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","","","",,,,,,,,,,,,,,,,,,,,,,,8000,"3",,"",,,,,,,,,,,,,"2",,,,,,,,,"10","0","0","0","0","0","1",,"2","0","0","0","1",,,,"0","3","","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","3",,,,,,,,,,,,,,,,,,,,,,,1
"17","3",4.24849524204936,"2","0","2","1","2","2","1","1","1","2",,,,,,,,,,"144","Capacitação e Desenvolvimento de Pessoas","Oferta de vagas para cidadãos em eventos de capacitação sobre temáticas específicas de interesse da sociedade.","AGU","INDIRETA","AGU","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","3","1","4",,,,,,,,,,,,,,,,,,,,"3","3",,70,"1",230,"1","0","0","1","1","1","1","0","1","1","1","1","0","1","0","0","0","0","1","0","2",,"5","0","1","0","0","0","0","1","2","0","0","1","0",,,,"0","2","","2","2","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","3",,,,,,,,,,,,,,,,,,,,,,,3
"18","3",6.91373735065968,,"1","2","1","2","1","0","2","1","1",,,,,,,,,,"213","Procuradoria-Geral da União - PGU","Representação judicial da Administração Direta (órgãos públicos).","AGU","INDIRETA","AGU","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","","","",,,,,,,,,,,,,,,,,,,,,,,1006,"1",1e+05,"1","0","1","1","1","1","1","1","1","1","1","1","0","2",,,,,,,,,"6","0","0","0","0","0","1","1","1","0","1","0","0","1","1","1","1","1",,"2","2","0","0","0","1","0","1","1","0","0","0","0","1","1","0","0","3",,,,,,,,,,,,,,,,,,,,,,,1
"19","4",2.484906649788,,"1","2","1","2","1","1","1","1","1",,,,,,,,,,"182","REPRESENTAÇÃO EXTRAJUDICIAL","REPRESENTAÇÃO EXTRAJUDICIAL DE ENTIDADES, ÓRGÃOS E AGENTES PÚBLICOS (ADMINISTRAÇÃO DIRETA E INDIRETA) EM FACE DE ÓRGÃOS PÚBLICOS FEDERAIS DE NATUERZA CONTENCIOSA E NÃO JUDICIAL, INCLUSIVE COM A COMPETÊNCIA DE CONTROLE DE CONTAS, COMO TRIBUNAL DE CONTAS DA UNIÃO, MINISTÉRIO DA TRANSPARÊNCIA, FISCALIZAÇÃO E CONTROLE, CONSELHO NACIONAL DE JUSTIÇA, CONSELHO NACIONAL DO MINISTÉRIO PÚBLICO, DENTRE OUTROS.","AGU","INDIRETA","AGU","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","","","",,,,,,,,,,,,,,,,,,,,,"4",,12,"1",120,"2",,,,,,,,,,,,,"1","1","0","0","0","0","0",,,"10","0","0","0","0","0","0","3","1","1","1","0","0","1","0","1","0","1","1","2","2","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","4",,,,,,,,,,,,,,,,,,,,,,,6
"20","3",8.29404964010203,,"1","2","1","2","2","0","2","0","1",,,,,,,,,,"155","Defesa judicial e extrajudicial das autarquias e fundações públicas (administração pública federal indireta)","Defesa judicial e extrajudicial das autarquias e fundações públicas (administração pública federal indireta)","AGU","INDIRETA","AGU","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","","","",,,,,,,,,,,,,,,,,,,,,"6",,4000,"1",8e+06,"2",,,,,,,,,,,,,"2",,,,,,,,,"9","0","0","0","0","0","1","1","2","0","1","0","0","0","0","0","1","1","1","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","3",,,,,,,,,,,,,,,,,,,,,,,3
"21","3",7.82404601085629,,"1","2","1","2","2","0","1","0","1",,,,,,,,,,"159","Consultoria e assessoramento jurídico extrajudicial das autarquias e fundações públicas federais (administração pública federal indireta)","prestar consultoria e assessoramento jurídicos às autarquias e fundações públicas federais","AGU","INDIRETA","AGU","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","","","",,,,,,,,,,,,,,,,,,,,,"6",,2500,"1",3e+05,"2",,,,,,,,,,,,,"1","0","0","0","0","1","0","3",,"5","0","0","0","0","0","1",,"2","1","0","0","0","0","0","0","1","1","1","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","3",,,,,,,,,,,,,,,,,,,,,,,1
"22","5",2.77258872223978,"1","1","2","1","1","2","0","2","1","1",,,,,,,,,,"353","Concessão de Outorga de Direito de Usos de Recursos Hídricos - Outorga","O usuário acessa o portal da ANA e solicita autorização para retirada de água de um rio de domínio federal. Após a Agência realizar o exame da disponibilidade hídrica e das regras para uso da água daquele rio  concede ou nega a autorização para uso dos recursos hídricos requerida. Não há intermediários nesse processo.","ANA","INDIRETA","MI","1","0","1","1","0","0","0","0","1","0","1","1","0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","1","0","4","3","6","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","2","2",,16,"1",2000,"1","0","0","0","0","1","0","0","1","0","0","0","0","2",,,,,,,,,"7","0","1","0","0","0","0","4","2","1","0","0","0","0","0","0","1","1","1","1","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,,1
